Body Type,Sex,Diet,How Often Shower,Heating Energy Source,Transport,Vehicle Type,Monthly Grocery Bill,Frequency of Traveling by Air,Vehicle Monthly Distance Km,Waste Bag Size,Waste Bag Weekly Count,How Long TV PC Daily Hour,How Many New Clothes Monthly,How Long Internet Daily Hour,CarbonEmission
normal,female,vegan,daily,wood,private,petrol,296,never,4910,extra large,5,5,40,22,2991
overweight,female,omnivore,twice a day,natural gas,walk/bicycle,,244,rarely,61,medium,7,0,19,9,1688
normal,female,omnivore,daily,coal,walk/bicycle,,105,rarely,54,small,2,7,49,6,1563
overweight,male,pescatarian,daily,natural gas,private,diesel,275,rarely,4425,medium,2,11,13,23,3127
obese,male,omnivore,more frequently,coal,walk/bicycle,,83,very frequently,85,large,6,0,41,22,4095
overweight,female,vegetarian,more frequently,coal,private,hybrid,162,rarely,7434,medium,6,14,14,5,2486
obese,male,omnivore,less frequently,electricity,private,petrol,209,frequently,7258,large,1,9,27,18,5082
obese,male,vegan,twice a day,wood,walk/bicycle,,76,never,7,extra large,5,2,39,22,2160
obese,male,vegetarian,daily,coal,walk/bicycle,,72,frequently,74,small,3,2,19,5,2091
normal,male,vegan,twice a day,electricity,walk/bicycle,,282,never,37,extra large,5,14,30,22,1696
overweight,male,vegan,more frequently,coal,private,electric,298,never,1170,small,1,15,1,22,1009
underweight,male,omnivore,twice a day,wood,private,hybrid,170,never,6890,small,2,15,39,11,2134
obese,male,vegan,less frequently,coal,public,,234,rarely,506,small,4,12,43,0,2047
normal,male,omnivore,more frequently,natural gas,walk/bicycle,,282,never,99,large,6,10,28,14,2190
overweight,female,vegetarian,daily,natural gas,private,electric,215,never,1695,small,6,22,31,24,1177
overweight,female,pescatarian,twice a day,electricity,private,electric,175,frequently,5671,small,4,16,45,14,1814
underweight,female,omnivore,daily,electricity,private,electric,190,never,8553,medium,6,6,44,19,1284
underweight,male,pescatarian,more frequently,coal,public,,73,rarely,1418,large,7,15,6,12,1839
underweight,female,pescatarian,twice a day,electricity,public,,214,rarely,382,large,3,10,24,18,1026
underweight,female,omnivore,twice a day,natural gas,private,lpg,127,never,5005,large,6,20,37,6,2600
normal,female,vegetarian,twice a day,electricity,walk/bicycle,,62,very frequently,77,extra large,4,3,33,10,2189
underweight,male,vegetarian,daily,electricity,public,,199,rarely,194,large,2,17,45,5,1500
underweight,male,vegetarian,more frequently,wood,public,,256,frequently,1446,small,6,16,25,5,1685
normal,female,vegan,daily,coal,walk/bicycle,,223,frequently,58,medium,6,13,26,7,1914
overweight,female,vegan,less frequently,natural gas,private,hybrid,185,rarely,7570,extra large,2,14,48,13,2845
underweight,female,vegan,daily,natural gas,private,hybrid,125,rarely,8298,large,2,4,12,12,2152
overweight,female,pescatarian,more frequently,coal,private,electric,294,very frequently,3216,small,1,5,20,21,2577
obese,female,omnivore,twice a day,coal,private,lpg,187,rarely,9945,medium,3,1,9,13,4220
underweight,male,pescatarian,less frequently,natural gas,public,,155,never,499,large,6,17,5,2,1199
underweight,female,vegan,more frequently,wood,public,,277,frequently,1426,large,3,4,13,16,1552
obese,male,omnivore,twice a day,coal,private,electric,296,very frequently,95,small,5,9,15,11,3294
obese,female,vegan,daily,coal,private,diesel,213,very frequently,1467,small,6,7,28,1,3243
normal,female,pescatarian,twice a day,coal,public,,269,never,1172,extra large,2,7,44,20,1675
normal,female,vegetarian,twice a day,electricity,public,,86,rarely,1212,small,7,6,24,3,1304
underweight,male,omnivore,twice a day,electricity,walk/bicycle,,228,very frequently,99,large,6,13,24,18,2878
underweight,male,pescatarian,twice a day,electricity,private,hybrid,243,never,2787,large,2,21,16,14,1126
underweight,male,omnivore,twice a day,natural gas,walk/bicycle,,276,rarely,7,large,3,10,28,12,1489
normal,male,omnivore,more frequently,electricity,private,electric,292,frequently,3347,medium,4,24,40,0,1954
underweight,female,vegan,daily,electricity,public,,282,frequently,1475,large,7,0,31,9,1957
obese,female,pescatarian,less frequently,natural gas,public,,74,very frequently,1873,extra large,7,9,36,23,3778
underweight,female,vegan,twice a day,natural gas,public,,208,very frequently,1661,extra large,2,24,29,10,2069
normal,male,omnivore,less frequently,coal,public,,260,frequently,774,large,2,6,34,24,2421
normal,male,vegan,more frequently,electricity,public,,294,very frequently,1043,medium,2,5,42,15,2801
obese,female,pescatarian,twice a day,electricity,private,petrol,52,frequently,9006,small,4,19,46,23,5547
obese,male,vegan,daily,natural gas,walk/bicycle,,229,frequently,15,extra large,2,22,22,12,2343
obese,male,vegetarian,more frequently,natural gas,public,,291,never,1199,extra large,5,0,21,15,2232
obese,female,vegetarian,less frequently,coal,walk/bicycle,,184,frequently,20,large,2,12,34,9,2309
underweight,male,vegan,more frequently,wood,private,diesel,131,rarely,4058,extra large,3,11,14,17,2233
underweight,male,vegan,less frequently,wood,walk/bicycle,,288,frequently,95,small,4,20,8,7,1419
overweight,male,omnivore,less frequently,coal,walk/bicycle,,192,frequently,71,medium,5,20,3,13,2087
overweight,female,vegetarian,more frequently,electricity,public,,175,very frequently,1603,large,5,6,44,22,2829
overweight,female,pescatarian,daily,natural gas,public,,64,very frequently,1595,large,2,16,49,4,3057
overweight,male,vegan,twice a day,coal,walk/bicycle,,62,frequently,92,large,4,10,9,1,2337
normal,female,vegetarian,daily,natural gas,walk/bicycle,,56,frequently,80,medium,3,19,50,5,1651
obese,male,vegetarian,twice a day,electricity,walk/bicycle,,209,frequently,21,large,3,7,31,6,2214
underweight,female,omnivore,less frequently,electricity,walk/bicycle,,136,frequently,31,medium,3,6,15,19,1402
underweight,male,pescatarian,twice a day,wood,walk/bicycle,,284,very frequently,3,small,2,7,12,12,2317
obese,male,vegetarian,twice a day,coal,private,electric,276,never,2698,medium,1,9,50,4,2027
normal,female,pescatarian,less frequently,natural gas,private,electric,209,never,1580,large,5,2,19,19,1543
overweight,female,omnivore,less frequently,wood,private,lpg,86,rarely,5541,small,3,24,0,17,2522
obese,female,omnivore,more frequently,electricity,private,petrol,238,rarely,7014,large,2,1,10,8,3996
normal,male,omnivore,more frequently,coal,public,,79,very frequently,1122,medium,5,10,5,19,2673
obese,male,vegan,less frequently,coal,private,petrol,200,never,1644,small,3,3,27,11,2235
normal,female,vegetarian,twice a day,natural gas,public,,214,rarely,1854,large,3,16,29,9,1378
underweight,male,pescatarian,daily,natural gas,walk/bicycle,,59,very frequently,72,extra large,6,4,39,7,2939
obese,male,vegan,more frequently,electricity,private,petrol,235,very frequently,4383,small,2,9,6,21,4311
overweight,female,pescatarian,more frequently,coal,walk/bicycle,,50,frequently,69,medium,7,11,28,24,2107
underweight,female,omnivore,twice a day,natural gas,private,petrol,122,never,5954,extra large,4,14,11,21,3419
normal,male,vegetarian,less frequently,wood,private,diesel,218,rarely,9258,small,4,12,20,20,3713
obese,male,vegan,daily,natural gas,private,electric,156,frequently,2041,large,1,17,0,18,1484
underweight,male,omnivore,more frequently,coal,private,electric,289,never,2033,extra large,7,1,40,1,2517
overweight,female,vegetarian,twice a day,wood,public,,168,frequently,1958,medium,7,19,9,9,1890
overweight,male,vegetarian,more frequently,coal,walk/bicycle,,242,frequently,58,large,5,10,38,2,3071
underweight,male,vegan,less frequently,coal,walk/bicycle,,73,frequently,92,extra large,4,15,32,8,2073
underweight,female,vegetarian,twice a day,coal,walk/bicycle,,145,very frequently,93,extra large,1,9,43,0,2233
underweight,female,omnivore,twice a day,wood,private,electric,214,never,7926,extra large,5,19,7,16,1644
obese,male,omnivore,daily,electricity,public,,117,very frequently,1988,medium,7,15,10,9,2957
overweight,male,vegetarian,daily,natural gas,public,,118,frequently,757,extra large,4,6,25,9,2278
underweight,female,omnivore,more frequently,coal,private,hybrid,292,rarely,8497,small,6,22,23,4,2813
overweight,female,pescatarian,more frequently,wood,walk/bicycle,,162,frequently,62,small,4,3,42,6,1983
underweight,female,vegan,daily,wood,private,petrol,209,rarely,5323,extra large,3,16,3,24,2779
overweight,male,vegetarian,more frequently,electricity,walk/bicycle,,222,very frequently,17,medium,5,22,17,1,2212
obese,male,vegan,twice a day,natural gas,public,,181,very frequently,5,small,2,7,16,14,2910
underweight,female,pescatarian,daily,coal,public,,74,rarely,1997,small,1,20,24,3,1051
overweight,male,vegan,more frequently,natural gas,private,lpg,120,frequently,7153,extra large,7,6,17,16,5044
normal,male,omnivore,more frequently,natural gas,public,,163,never,1301,extra large,2,23,33,8,1595
underweight,male,vegan,twice a day,coal,private,lpg,264,frequently,2864,extra large,7,24,47,19,3745
obese,male,vegan,less frequently,coal,private,hybrid,252,rarely,6029,medium,3,20,33,15,3084
underweight,male,pescatarian,daily,wood,private,electric,68,frequently,825,extra large,7,17,21,4,2280
obese,male,pescatarian,twice a day,coal,public,,177,very frequently,660,medium,6,12,22,11,3669
normal,female,pescatarian,less frequently,wood,public,,94,very frequently,967,small,2,17,6,2,1724
overweight,male,omnivore,more frequently,electricity,public,,247,rarely,1111,small,3,0,34,11,1695
overweight,male,vegan,more frequently,electricity,public,,144,very frequently,884,small,4,7,19,16,2423
underweight,male,vegan,daily,coal,private,diesel,99,frequently,704,large,6,4,23,3,2130
underweight,female,omnivore,more frequently,natural gas,private,hybrid,278,rarely,2514,large,5,20,45,3,2224
overweight,female,omnivore,twice a day,natural gas,private,petrol,89,very frequently,3208,medium,2,5,9,1,3058
underweight,male,pescatarian,daily,electricity,public,,69,very frequently,1954,small,1,6,25,14,1994
underweight,female,vegetarian,daily,wood,walk/bicycle,,62,never,92,large,6,3,37,24,1605
overweight,male,omnivore,more frequently,natural gas,public,,110,rarely,1438,extra large,4,16,26,8,1751
overweight,female,vegan,more frequently,natural gas,public,,223,frequently,1923,extra large,7,9,0,24,2405
obese,male,pescatarian,daily,natural gas,public,,73,frequently,846,extra large,4,4,9,17,1941
obese,female,omnivore,less frequently,coal,walk/bicycle,,248,rarely,65,extra large,5,10,7,13,2195
obese,female,omnivore,twice a day,electricity,walk/bicycle,,145,frequently,41,small,3,17,47,23,2106
obese,male,pescatarian,twice a day,coal,public,,216,rarely,635,extra large,4,11,46,7,2516
normal,female,vegetarian,twice a day,electricity,private,hybrid,255,never,9842,extra large,4,4,46,0,2956
overweight,female,pescatarian,twice a day,natural gas,walk/bicycle,,54,frequently,77,large,1,10,46,3,1678
normal,male,omnivore,more frequently,electricity,private,petrol,189,never,7953,large,7,15,21,3,4357
obese,male,vegetarian,less frequently,coal,walk/bicycle,,216,frequently,48,small,3,5,31,0,2249
normal,female,pescatarian,daily,natural gas,walk/bicycle,,273,never,86,small,7,11,3,8,776
obese,male,pescatarian,daily,electricity,walk/bicycle,,281,frequently,18,extra large,4,23,40,4,2794
underweight,female,vegetarian,more frequently,coal,walk/bicycle,,171,never,65,extra large,5,14,47,9,1939
normal,female,omnivore,daily,coal,private,hybrid,158,frequently,1844,extra large,6,4,9,6,2250
underweight,female,pescatarian,more frequently,electricity,walk/bicycle,,198,rarely,91,large,7,16,13,8,1155
normal,male,omnivore,twice a day,electricity,public,,270,never,1749,medium,6,6,4,16,1203
overweight,male,pescatarian,twice a day,natural gas,private,lpg,224,very frequently,4397,small,6,23,1,16,4031
underweight,female,vegetarian,less frequently,wood,public,,186,very frequently,1008,extra large,5,13,11,19,2364
overweight,male,vegan,less frequently,wood,walk/bicycle,,122,very frequently,19,medium,5,19,13,23,2446
obese,female,pescatarian,twice a day,coal,private,lpg,158,frequently,6419,large,6,16,24,15,4445
normal,female,vegetarian,more frequently,electricity,walk/bicycle,,91,rarely,95,medium,3,8,45,0,1202
normal,female,vegan,more frequently,natural gas,walk/bicycle,,186,frequently,8,extra large,5,15,8,0,1670
obese,female,pescatarian,twice a day,coal,private,lpg,272,very frequently,7008,large,4,3,28,17,5133
underweight,male,vegan,less frequently,electricity,public,,90,very frequently,1601,extra large,7,17,1,5,2698
obese,female,pescatarian,less frequently,electricity,walk/bicycle,,232,never,0,extra large,7,18,21,8,2092
underweight,male,vegan,more frequently,electricity,private,electric,222,rarely,1072,large,3,12,19,8,1086
normal,female,vegetarian,twice a day,coal,public,,229,very frequently,695,large,6,13,17,14,2835
underweight,female,omnivore,more frequently,coal,walk/bicycle,,99,rarely,42,large,1,21,30,3,987
overweight,male,vegan,twice a day,natural gas,private,electric,238,rarely,9316,medium,3,8,29,0,1790
obese,male,vegetarian,less frequently,natural gas,private,lpg,54,very frequently,9507,large,5,13,35,13,6621
underweight,male,vegetarian,twice a day,wood,public,,191,frequently,1635,medium,7,22,18,2,1749
normal,female,vegetarian,less frequently,coal,public,,97,very frequently,810,large,5,24,20,12,2721
normal,female,vegetarian,daily,natural gas,private,diesel,161,rarely,1899,large,6,22,24,17,1900
underweight,male,vegetarian,twice a day,coal,public,,259,frequently,103,large,5,8,2,6,1756
underweight,male,vegetarian,twice a day,electricity,walk/bicycle,,147,frequently,71,extra large,2,18,6,15,1449
overweight,male,vegetarian,more frequently,wood,walk/bicycle,,212,rarely,86,extra large,1,13,25,1,1400
underweight,male,omnivore,more frequently,coal,public,,263,never,818,small,7,18,17,10,1441
normal,male,pescatarian,daily,electricity,private,lpg,206,very frequently,4809,large,4,13,33,11,4031
normal,female,vegetarian,less frequently,electricity,walk/bicycle,,209,rarely,92,small,3,11,44,14,1284
underweight,female,omnivore,twice a day,natural gas,private,electric,236,frequently,3610,small,2,12,37,22,1733
normal,female,omnivore,more frequently,wood,private,electric,110,rarely,5696,large,4,11,45,12,1645
obese,female,vegetarian,more frequently,natural gas,public,,123,never,1795,extra large,3,19,27,23,1374
normal,female,pescatarian,daily,electricity,walk/bicycle,,297,very frequently,98,small,5,1,14,0,1674
underweight,male,vegetarian,daily,wood,public,,159,very frequently,1895,medium,4,22,36,21,2811
normal,female,vegetarian,more frequently,natural gas,public,,165,never,1321,small,4,19,9,6,1007
normal,female,pescatarian,less frequently,wood,public,,274,frequently,824,small,1,4,13,15,1466
normal,male,omnivore,daily,electricity,public,,282,frequently,984,extra large,1,18,35,2,2173
normal,female,omnivore,daily,electricity,walk/bicycle,,212,frequently,95,extra large,6,16,46,10,2420
overweight,female,omnivore,daily,coal,private,electric,80,rarely,9746,large,5,19,25,3,1660
obese,female,vegetarian,more frequently,coal,private,petrol,204,very frequently,3315,small,6,7,36,9,3973
normal,female,pescatarian,more frequently,wood,walk/bicycle,,98,rarely,32,medium,4,12,46,21,1387
overweight,male,omnivore,more frequently,coal,private,petrol,130,very frequently,7885,extra large,6,6,18,23,6810
underweight,male,pescatarian,more frequently,wood,walk/bicycle,,59,frequently,51,small,1,14,2,0,1130
normal,female,vegetarian,twice a day,natural gas,private,lpg,276,never,2916,extra large,5,21,42,8,2393
normal,male,omnivore,more frequently,natural gas,walk/bicycle,,273,never,54,medium,5,12,37,8,2038
overweight,male,vegan,more frequently,coal,public,,71,never,1758,small,4,19,29,18,1652
underweight,female,vegetarian,more frequently,wood,public,,109,frequently,1414,small,4,1,15,4,1475
obese,male,omnivore,less frequently,natural gas,public,,127,never,479,medium,5,1,25,2,1867
underweight,male,vegan,daily,wood,walk/bicycle,,281,rarely,25,extra large,1,17,43,20,1467
overweight,female,vegetarian,twice a day,wood,public,,108,rarely,575,large,6,15,45,20,1873
normal,female,vegan,less frequently,natural gas,public,,268,very frequently,23,large,7,21,3,20,2212
underweight,male,pescatarian,daily,coal,public,,100,very frequently,1401,medium,7,4,26,12,3044
normal,male,omnivore,less frequently,wood,public,,112,never,197,large,5,0,33,23,1795
obese,male,pescatarian,daily,coal,public,,107,rarely,780,medium,7,6,27,0,2059
normal,female,vegan,less frequently,wood,walk/bicycle,,226,frequently,22,extra large,4,5,4,13,1681
underweight,female,vegan,less frequently,natural gas,walk/bicycle,,124,never,56,large,7,12,42,14,1624
